Experiment,Algorithm,Benchmark,hostSeconds,hostTickRate,hostMemory,simInsts,hostInstRate,hostOpRate,dcache_overallHits,dcache_overallMisses,dcache_overallAccesses,dcache_avgMissLatency,dcache_tagsInUse,dcache_avgOccupancy,icache_overallHits,icache_overallMisses,icache_overallAccesses,icache_avgMissLatency,icache_tagsInUse,icache_avgOccupancy,l2cache_avgMissLatency,l3cache_avgMissLatency,l2cache_tagsInUse,l3cache_tagsInUse,l2cache_avgOccupancy,l3cache_avgOccupancy,memctrl_totalEnergy,memctrl_averagePower,memctrl_readReqs,memctrl_writeReqs,memctrl_readBursts
1,RandomRP,queens,195.87,1892082439,703024,115020716,587227,1189764,35313881,1983,35315864,137675.743822,1023.432435,0.999446,149755123,1450,149756573,132779.310345,255.961179,0.999848,140911.408540,99010.848756,2996.147012,3050.047101,0.731481,0.372320,172469810715,465.375384,3134,0,3134
2,RandomRP,sha,22.97,1567222568,700964,12043629,524265,680576,2429747,2098,2431845,135732.602479,1018.160417,0.994297,15329718,1500,15331218,132125.333333,255.600447,0.998439,140853.185596,98949.152542,2907.612673,2950.752164,0.709866,0.360199,16824085830,467.305628,3245,0,3245
3,RandomRP,BFS,42.93,1895620933,752592,22031780,513221,987425,5473199,140860,5614059,100252.094278,1021.016363,0.997086,27913643,3172,27916815,131574.716267,255.823848,0.999312,122956.475744,101236.016837,4062.774116,7946.715005,0.991888,0.970058,41699459160,512.430794,79113,32137,79113
4,RandomRP,blocked-matmul,18.09,2136378834,699948,10074290,556904,969302,3095361,6799,3102160,82924.253567,1018.566246,0.994694,15855863,1336,15857199,134663.922156,255.627736,0.998546,143651.993547,102044.233441,3635.860490,4000.123635,0.887661,0.488296,18238869195,471.944185,4318,0,4318
5,LRURP,queens,221.96,1669678638,703024,115020716,518201,1049913,35313881,1983,35315864,137675.743822,1023.432435,0.999446,149755123,1450,149756573,132779.310345,255.961179,0.999848,140911.408540,99010.848756,2996.147012,3050.047101,0.731481,0.372320,172469810715,465.375384,3134,0,3134
6,LRURP,sha,17.48,2059979820,700964,12043629,689097,894554,2429747,2098,2431845,135732.602479,1018.160417,0.994297,15329718,1500,15331218,132125.333333,255.600447,0.998439,140853.185596,98949.152542,2907.612673,2950.752164,0.709866,0.360199,16824085830,467.305628,3245,0,3245
7,LRURP,BFS,39.55,2057672286,752592,22031780,557092,1071831,5473199,140860,5614059,100252.094278,1021.016363,0.997086,27913643,3172,27916815,131574.716267,255.823848,0.999312,122956.475744,101236.016837,4062.774116,7946.715005,0.991888,0.970058,41699459160,512.430794,79113,32137,79113
8,LRURP,blocked-matmul,18.47,2091919884,699948,10074290,545314,949129,3095361,6799,3102160,82924.253567,1018.566246,0.994694,15855863,1336,15857199,134663.922156,255.627736,0.998546,143651.993547,102044.233441,3635.860490,4000.123635,0.887661,0.488296,18238869195,471.944185,4318,0,4318
9,MRURP,queens,203.84,1818106701,703020,115020716,564268,1143248,35313881,1983,35315864,137675.743822,1023.432435,0.999446,149755123,1450,149756573,132779.310345,255.961179,0.999848,140911.408540,99010.848756,2996.147012,3050.047101,0.731481,0.372320,172469810715,465.375384,3134,0,3134
10,MRURP,sha,17.22,2090737708,700964,12043629,699397,907925,2429747,2098,2431845,135732.602479,1018.160417,0.994297,15329718,1500,15331218,132125.333333,255.600447,0.998439,140853.185596,98949.152542,2907.612673,2950.752164,0.709866,0.360199,16824085830,467.305628,3245,0,3245
